"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SEBASMUGEN: #BearStory #Oscars #oscar

La triste historia de un ""OSO"" .......y su pobre familia....<ed><U+00A0><U+00BD><ed><U+00B4><U+00AB><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB> https://t.co/o6fAkMkAgW",FALSE,0,NA,2016-03-01 03:35:44,FALSE,NA,"704510403833937921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sersocor",7,TRUE,FALSE,NA,NA
"2","RT @solRm_90: Bien @mhonividente #UnOscarParaLeo #Oscars https://t.co/RB5aIFgaH0",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510403296931840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Valladaresvero1",56,TRUE,FALSE,NA,NA
"3","RT @JLin7: Seriously though, when is this going to change?!? Tired of it being ""cool"" and ""ok"" to bash Asians smh #Oscars https://t.co/1nBv…",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510402042802176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zoe_smileface",1574,TRUE,FALSE,NA,NA
"4","RT @BradGudger: @ladygaga came, she performed, she slayed <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #Oscars",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510402034540545",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","AdidasRep23",8,TRUE,FALSE,NA,NA
"5","RT @50sAnd60s: Audrey Hepburn and Grace Kelly backstage. #Oscars https://t.co/4O4KYPOgAn",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510401967337472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EyrielAmphie",2495,TRUE,FALSE,NA,NA
"6","#Oscars viewer ratings have been dropping for years. If they don't figure this shit out, they'll just be left behind",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510401581445121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","elfirestine",0,FALSE,FALSE,NA,NA
"7","Aquí les dejo el ganador al #Oscars  como mejor corto animado: Bear Story. Que lo disfruten <ed><U+00A0><U+00BD><ed><U+00B0><U+00BB>

https://t.co/OrggFy9Alb",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510401468174336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lalusa",0,FALSE,FALSE,NA,NA
"8","RT @MissDimplez: ""Jamie Foxx was so good in the movie Ray that they went to the hospital and unplugged the real Ray Charles."" - @ChrisRock …",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510401401241600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AJ_Sadowski",149,TRUE,FALSE,NA,NA
"9","RT @payneNBC: 'If you want black nominees every year, you need to just have black categories. it's not track/field' - @chrisrock #oscars",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510401090822144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sagittariansoul",121,TRUE,FALSE,NA,NA
"10","GENTE <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> aquele garoto que falou que eu tava errada, que o Leo nunca ia ganhar o #Oscars do Eddie sumiu depois que mandei um: CHUPA HATER <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510400751124480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alanadeyse",0,FALSE,FALSE,NA,NA
"11","RT @BradGudger: That's a wrap <ed><U+00A0><U+00BC><ed><U+00BC><U+009F> #Oscars",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510400587538433",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","AdidasRep23",9,TRUE,FALSE,NA,NA
"12","RT @billboard: Sam Smith responds to #Oscars controversy: ""My point was to shine light on LGBT community"" https://t.co/nCKL2vEg4m https://t…",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510400407203840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HuyLor",38,TRUE,FALSE,NA,NA
"13","RT @LauraBeye: #Rihanna et Leo sont encore ensemble ? S'il a l #Oscars , elle pourra venir chanter "" #It worked worked worked worked worked…",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510399933194241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mike94708793",1,TRUE,FALSE,NA,NA
"14","RT @mthai: <U+0E1E><U+0E35><U+0E48> @samsmithworld <U+0E40><U+0E02><U+0E32><U+0E1A><U+0E2D><U+0E01><U+0E21><U+0E32><U+0E43><U+0E19><U+0E07><U+0E32><U+0E19> #oscars
#MThai https://t.co/6jtey2m7XN",FALSE,0,NA,2016-03-01 03:35:43,FALSE,NA,"704510399643660288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KTAomsiN",5,TRUE,FALSE,NA,NA
"15","RT @TEDNews: Congrats to @TEDFellow @sharmeenochinoy for her 2nd #Oscars win! Powerful documentary on honor killings: https://t.co/cYNWEdCD…",FALSE,0,NA,2016-03-01 03:35:42,FALSE,NA,"704510399077605376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kramdas",10,TRUE,FALSE,NA,NA
"16","RT @SunnyHMoon: why is morgan freeman me? #oscars https://t.co/3dvlcZXREI",FALSE,0,NA,2016-03-01 03:35:42,FALSE,NA,"704510398884683776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marshiieee",12783,TRUE,FALSE,NA,NA
