"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","If the #Oscars were all about diversity, why the crude Asian joke? https://t.co/xzlSoWFDyK",FALSE,0,NA,2016-03-01 04:12:08,FALSE,NA,"704519567452696577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarrenShiroma",0,FALSE,FALSE,NA,NA
"2","RT @IntThings: Leonardo DiCaprio uses acceptance speech to bring attention to climate change.. #oscars https://t.co/86wFCDCUgD https://t.co…",FALSE,0,NA,2016-03-01 04:12:08,FALSE,NA,"704519566702022656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kingbrunoo_",1144,TRUE,FALSE,NA,NA
"3","RT @Joke_Jaith: #Oscars <U+0E1B><U+0E35><U+0E25><U+0E48><U+0E32><U+0E2A><U+0E38><U+0E14><U+0E21><U+0E35><U+0E1C><U+0E39><U+0E49><U+0E0A><U+0E21><U+0E0A><U+0E32><U+0E27><U+0E2D><U+0E40><U+0E21><U+0E23><U+0E34><U+0E01><U+0E31><U+0E19> 34.3 <U+0E25><U+0E49><U+0E32><U+0E19><U+0E04><U+0E19> <U+0E25><U+0E14><U+0E25><U+0E07><U+0E08><U+0E32><U+0E01><U+0E1B><U+0E35><U+0E01><U+0E48><U+0E2D><U+0E19> 6% <U+0E19><U+0E31><U+0E1A><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E01><U+0E32><U+0E23><U+0E16><U+0E48><U+0E32><U+0E22><U+0E17><U+0E2D><U+0E14><U+0E2A><U+0E14><U+0E17><U+0E35><U+0E48><U+0E21><U+0E35><U+0E04><U+0E19><U+0E14><U+0E39><U+0E19><U+0E49><U+0E2D><U+0E22><U+0E17><U+0E35><U+0E48><U+0E2A><U+0E38><U+0E14><U+0E43><U+0E19><U+0E23><U+0E2D><U+0E1A> 8 <U+0E1B><U+0E35> https://t.…",FALSE,0,NA,2016-03-01 04:12:08,FALSE,NA,"704519564214693888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","warang1240",183,TRUE,FALSE,NA,NA
"4","RT @GossipGun: #Oscars <U+0E2A><U+0E32><U+0E02><U+0E32><U+0E20><U+0E32><U+0E1E><U+0E22><U+0E19><U+0E15><U+0E23><U+0E4C><U+0E2D><U+0E19><U+0E34><U+0E40><U+0E21><U+0E0A><U+0E31><U+0E48><U+0E19><U+0E22><U+0E2D><U+0E14><U+0E40><U+0E22><U+0E35><U+0E48><U+0E22><U+0E21> <U+0E44><U+0E14><U+0E49><U+0E41><U+0E01><U+0E48> Inside Out https://t.co/zKNt6pJ4DN",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519563652653056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mirukoto_2012",760,TRUE,FALSE,NA,NA
"5","RT @MartijnPOP: Beyonce deserves an Oscar for acting like Jay-Z is a handsome man. #Oscars https://t.co/hYI7IyTopP",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519562969161728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coladellarey",128,TRUE,FALSE,NA,NA
"6","RT @ReallyCody: All I care about tonight is Leo #Oscars",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519562151251968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dyIanspirit",3350,TRUE,FALSE,NA,NA
"7","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519562147061760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennaLynnBriggs",354513,TRUE,FALSE,NA,NA
"8","RT @smillepls: existem coisas que nunca mudam #Oscars https://t.co/hCXOug4qcX",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519562054803456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ttklia",1185,TRUE,FALSE,NA,NA
"9","HELLO EVERYONE, GO TO OUR INSTAGRAM @SwagLaundry TO WATCH OUR @TheAcademy #Oscars TAKEOVER, WE'LL POST VIDEOS ON TWITTER TOMORROW #SWAG",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519560712486912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SwagLaundry",0,FALSE,FALSE,NA,NA
"10","RT @etnow: EXCLUSIVE: @LeoDiCaprio's mom dishes on what she loved about his #Oscars speech. https://t.co/Per7OJoTQA https://t.co/q6gTox3foS",FALSE,0,NA,2016-03-01 04:12:07,FALSE,NA,"704519560179748865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jacquelinefours",22,TRUE,FALSE,NA,NA
