"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511420269006848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fernandanegret5",353874,TRUE,FALSE,NA,NA
"2","RT @RealJamesWoods: The erstwhile recognition of cinema excellence degenerated into a tiresome, endless political rant last night. It was t…",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511420260589568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anamargaritam",827,TRUE,FALSE,NA,NA
"3","RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511419300114432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ohwowphiI",37799,TRUE,FALSE,NA,NA
"4","RT @DillonTaylorr: #Oscars #Goals #LeonardoDiCaprio https://t.co/b9tUO2uGn2",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511418851155968",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","itwasfree99",2,TRUE,FALSE,NA,NA
"5","RT @billboard: Sam Smith responds to #Oscars controversy: ""My point was to shine light on LGBT community"" https://t.co/nCKL2vEg4m https://t…",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511418763116544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","h_musics",43,TRUE,FALSE,NA,NA
"6","RT @danisnotonfire: shoutout to the real winners of the #Oscars this evening - visibility for lgbt, climate change, sexual abuse victims an…",FALSE,0,NA,2016-03-01 03:39:46,FALSE,NA,"704511418486427648",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","cagedsparrows",37799,TRUE,FALSE,NA,NA
"7","RT @DrLadilla: JAJAJAJAJAJAJAJAJAJAJAJAJAJAJA #Oscars https://t.co/Cm700cjuHG",FALSE,0,NA,2016-03-01 03:39:45,FALSE,NA,"704511417056104448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarryGomezC",95,TRUE,FALSE,NA,NA
"8","RT @LeoDiCaprio: Thank you to the Academy and the incredible cast &amp; crew of #TheRevenant. #Oscars",FALSE,0,NA,2016-03-01 03:39:45,FALSE,NA,"704511416703713280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","frhsyhfzan",353874,TRUE,FALSE,NA,NA
"9","Our #MCM forever. Congrats to our guy @leonardodicaprio on his win last night. #Oscars #leonardodicaprio #leo https://t.co/3iG634qQfQ",FALSE,0,NA,2016-03-01 03:39:45,FALSE,NA,"704511414421983232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheSermonLA",0,FALSE,FALSE,NA,NA
"10","While we watched the #Oscars, Justice for Flint raised $140,000 for Michigan residents <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> #Flint https://t.co/9uZEKT0D18",FALSE,0,NA,2016-03-01 03:39:44,FALSE,NA,"704511412035575808",NA,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","angelaleaney",0,FALSE,FALSE,NA,NA
"11","RT @billboard: Sam Smith responds to #Oscars controversy: ""My point was to shine light on LGBT community"" https://t.co/nCKL2vEg4m https://t…",FALSE,0,NA,2016-03-01 03:39:44,FALSE,NA,"704511410831802369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MMoooggg",43,TRUE,FALSE,NA,NA
"12","RT @ENews: Jennifer Lawrence looks absolutely lovely in lace at the #Oscars: https://t.co/0H389QmlYN https://t.co/R8r4fiPEEY",FALSE,0,NA,2016-03-01 03:39:44,FALSE,NA,"704511410517094401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaryBurr6",237,TRUE,FALSE,NA,NA
"13","RT @AkilahObviously: CLIMATE CHANGE IS REAL. THAT ICEBERG KILLED ME ONCE. - Leonardo DiCaprio #Oscars",FALSE,0,NA,2016-03-01 03:39:44,FALSE,NA,"704511410412331009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nxndos_niall",1039,TRUE,FALSE,NA,NA
"14","RT @ricardomasaki: La imagen épica de la noche #Oscars https://t.co/x4pdFTmykW",FALSE,0,NA,2016-03-01 03:39:44,FALSE,NA,"704511410156544000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LucianaKach",786,TRUE,FALSE,NA,NA
"15","RT @DiarioTalCual: Héctor Rodríguez gana el premio a Mejor Actor en los #OscarsTalCual2016 #Oscars https://t.co/s9Bewz1UEP https://t.co/WSh…",FALSE,0,NA,2016-03-01 03:39:43,FALSE,NA,"704511409959378944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HeyddyS",8,TRUE,FALSE,NA,NA
"16","RT @EW: #Oscars' music supervisor explains why they played 'Fight the Power': https://t.co/EdfJsEbZ3I https://t.co/6QFty9z15a",FALSE,0,NA,2016-03-01 03:39:43,FALSE,NA,"704511407451058178",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WereGeek",6,TRUE,FALSE,NA,NA
"17","RT @ElEfectoAxe: @LeoDiCaprio La espera terminó. #Oscars #UnOscarParaLeo https://t.co/TRsHGh0H0I",FALSE,0,NA,2016-03-01 03:39:43,FALSE,NA,"704511407430041601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SEUZ33",111,TRUE,FALSE,NA,NA
"18","RT @chochos: Cuando te pones hasta pulserita roja para que no te hagan ojo. Ese DiCaprio es barrio. #Oscars https://t.co/FjowwOGLBh",FALSE,0,NA,2016-03-01 03:39:43,FALSE,NA,"704511406209519616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","santiago_leoc",646,TRUE,FALSE,NA,NA
"19","RT @Zodiculo: #Oscars #Áries Tava incrível mesmo! https://t.co/nh6GDJjCyz",FALSE,0,NA,2016-03-01 03:39:41,FALSE,NA,"704511401474330628",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heywhatsupvicky",11,TRUE,FALSE,NA,NA
"20","RT @htcity: And that’s how you own the red carpet! #priyankaChopra #Oscars @Snigdhahuja @priyankachopra https://t.co/UrrpXfgZWF",FALSE,0,NA,2016-03-01 03:39:41,FALSE,NA,"704511400584941568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhasinSin",9,TRUE,FALSE,NA,NA
"21","RT @JLin7: Seriously though, when is this going to change?!? Tired of it being ""cool"" and ""ok"" to bash Asians smh #Oscars https://t.co/1nBv…",FALSE,0,NA,2016-03-01 03:39:41,FALSE,NA,"704511399976787969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shao",1588,TRUE,FALSE,NA,NA
"22","RT @elizabethforma: And no Best Picture award, but #TheBigShort made clear we will not forget that Wall St broke our economy. This ain't ov…",FALSE,0,NA,2016-03-01 03:39:40,FALSE,NA,"704511397225320448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emily_hawkk",1546,TRUE,FALSE,NA,NA
