"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The Mother Daughter Experiment Tuesday March 1, Lifetime #Oscars https://t.co/e6yeqH3DsU",FALSE,0,NA,2016-03-01 03:09:23,FALSE,NA,"704503774266658817",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","YoutubenewsNews",0,FALSE,FALSE,NA,NA
"2","RT @damnitsriley: Wait how did Leonardo dicaprio win an Oscar if he died on the titanic? #Oscars #LeonardoDiCaprio",FALSE,0,NA,2016-03-01 03:09:23,FALSE,NA,"704503773746442244",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raenanny5150",274,TRUE,FALSE,NA,NA
"3","RT @GossipGun: Toy Story <U+0E01><U+0E47><U+0E21><U+0E32><U+0E1B><U+0E23><U+0E30><U+0E01><U+0E32><U+0E28><U+0E23><U+0E32><U+0E07><U+0E27><U+0E31><U+0E25> #Oscars <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> https://t.co/QXhwUOXMbX",FALSE,0,NA,2016-03-01 03:09:23,FALSE,NA,"704503772823728129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","luksamon_Tam",983,TRUE,FALSE,NA,NA
"4","RT @Im_Chanel1: Quédate con quien te espere tanto como Leonardo esperó los #Oscars <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,2016-03-01 03:09:22,FALSE,NA,"704503772089692160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cmg_CABJ",1339,TRUE,FALSE,NA,NA
"5","RT @voguejp: <U+53D7><U+8CDE><U+306E><U+77AC><U+9593><U+3001><U+30B1><U+30A4><U+30C8>·<U+30A6><U+30A3><U+30F3><U+30B9><U+30EC><U+30C3><U+30C8><U+3068><U+4EA4><U+308F><U+3057><U+305F><U+53CB><U+60C5><U+306E><U+8A3C><U+3002><U+30EC><U+30AA><U+30CA><U+30EB><U+30C9>·<U+30C7><U+30A3><U+30AB><U+30D7><U+30EA><U+30AA><U+304C><U+898B><U+4E8B><U+60B2><U+9858><U+306E><U+30AA><U+30B9><U+30AB><U+30FC><U+3092><U+7372><U+5F97>!<U+6388><U+8CDE><U+5F0F><U+3067><U+306E><U+3053><U+307C><U+308C><U+8A71><U+3092><U+3054><U+7D39><U+4ECB><U+3002> https://t.co/FpkOg6Hug5 #<U+30A2><U+30AB><U+30C7><U+30DF><U+30FC><U+8CDE> #Oscars https://t.co/tCJM4…",FALSE,0,NA,2016-03-01 03:09:22,FALSE,NA,"704503771976454144",NA,"<a href=""http://jigtwi.jp/?p=1"" rel=""nofollow"">jigtwi</a>","ymxxx04",12,TRUE,FALSE,NA,NA
"6","RT @Milenio: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7> #Oscars | Súbete al #TrenDelMeme de los #Oscar2016 https://t.co/KfoCCUiu7V https://t.co/faXJX2wmG7",FALSE,0,NA,2016-03-01 03:09:22,FALSE,NA,"704503769875161088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","geova_renaud",216,TRUE,FALSE,NA,NA
"7","RT @TheWrap: #Oscars: Congrats to @LeoDiCaprio on his first Academy Award WIN! <ed><U+00A0><U+00BC><ed><U+00BF><U+0086> https://t.co/uiKqHtRBIw",FALSE,0,NA,2016-03-01 03:09:22,FALSE,NA,"704503769145307137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Yshi34",65,TRUE,FALSE,NA,NA
"8","RT @WhiteHouse: Climate change ""is the most urgent threat facing our entire species.""

RT if you agree with @LeoDiCaprio. #Oscars https://t…",FALSE,0,NA,2016-03-01 03:09:22,FALSE,NA,"704503768595898368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FSI_Yokohama",7456,TRUE,FALSE,NA,NA
"9","RT @metroadelantado: Mejor edición de sonido - #Oscars https://t.co/DKpw6Oz9GK",FALSE,0,NA,2016-03-01 03:09:21,FALSE,NA,"704503767065042945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FabianaAlborno",1157,TRUE,FALSE,NA,NA
"10","RT @TheEllenShow: Congratulations, Spotlight! Thank you for daring to shine a light on sex abuse and bringing so much awareness to it. #Osc…",FALSE,0,NA,2016-03-01 03:09:21,FALSE,NA,"704503767006375936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MordeOMG",4114,TRUE,FALSE,NA,NA
"11","RT @SecuteBelieber: 1997 - 2016

this is so beautiful #Oscars https://t.co/mKhWWKVXPE",FALSE,0,NA,2016-03-01 03:09:21,FALSE,NA,"704503766301720576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","5HGleek",2033,TRUE,FALSE,NA,NA
"12","RT @Sketchfab: [MODEL OF THE DAY] In honor of the six #MadMaxFuryRoad #Oscars! Fairlady S30Z by kevingille https://t.co/6k1xbA3EuM https://…",FALSE,0,NA,2016-03-01 03:09:21,FALSE,NA,"704503766092009473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","albn",5,TRUE,FALSE,NA,NA
"13","RT @eiga_pia: <U+30A2><U+30EA><U+30B7><U+30A2>·<U+30F4><U+30A3><U+30AD><U+30E3><U+30F3><U+30C7><U+30EB><U+3092><U+898B><U+3064><U+3081><U+308B><U+30A8><U+30C7><U+30A3>·<U+30EC><U+30C3><U+30C9><U+30E1><U+30A4><U+30F3>…<U+3046><U+308B><U+3046><U+308B> #academy_88th #<U+7B2C>88<U+56DE><U+30A2><U+30AB><U+30C7><U+30DF><U+30FC><U+8CDE> #<U+30A2><U+30AB><U+30C7><U+30DF><U+30FC><U+8CDE> #<U+30AA><U+30B9><U+30AB><U+30FC> #Oscars #academy
 https://t.co/aCztTuvLsN",FALSE,0,NA,2016-03-01 03:09:20,FALSE,NA,"704503763533324290",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","majecox",53,TRUE,FALSE,NA,NA
"14","RT @SadHappyAmazing: Congrats to Leonardo DiCaprio! Well deserved! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> #Oscars https://t.co/cwrV4FIHxP",FALSE,0,NA,2016-03-01 03:09:20,FALSE,NA,"704503762895937538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FlorDasilvaaa",9237,TRUE,FALSE,NA,NA
